"kontinent","einwohnerzahl","habitatform","ort"
"Europa",29840,"Kleinstadt","Menorca"
"Europa",97260,"Große Mittelstadt","Galicien"
"Europa",346843,"Mittlere Großstadt","Bilbao"
"Europa",688592,"Große Großstadt","Sevilla"
"Europa",3266126,"Millionenstadt","Madrid"
"Lateinamerika",196527,"Kleine Großstadt","La Plata"
"Lateinamerika",2141652,"Millionenstadt","Havana"
"Lateinamerika",3102361,"Millionenstadt","Quito"
"Lateinamerika",3113725,"Millionenstadt","Guayaquil"
"Lateinamerika",8848588,"Megastadt","Bogotá"
"Lateinamerika",22577698,"Megastadt","Mexico City"
